month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1984-06-01,1,9000.0,1,1.0,1.0
1984-07-01,0,0.0,1,0.5,0.5
1984-08-01,0,0.0,1,0.3333333333333333,0.3333333333333333
1984-09-01,0,0.0,1,0.25,0.25
1984-10-01,0,0.0,1,0.2,0.2
1984-11-01,0,0.0,1,0.16666666666666666,0.16666666666666666
1984-12-01,0,0.0,1,0.0,0.14285714285714285
1985-01-01,0,0.0,1,0.0,0.125
1985-02-01,0,0.0,1,0.0,0.1111111111111111
1985-03-01,0,0.0,1,0.0,0.1
1985-04-01,0,0.0,1,0.0,0.09090909090909091
1985-05-01,0,0.0,1,0.0,0.08333333333333333
1985-06-01,0,0.0,1,0.0,0.0
1985-07-01,0,0.0,1,0.0,0.0
1985-08-01,0,0.0,1,0.0,0.0
1985-09-01,0,0.0,1,0.0,0.0
1985-10-01,0,0.0,1,0.0,0.0
1985-11-01,0,0.0,1,0.0,0.0
1985-12-01,0,0.0,1,0.0,0.0
1986-01-01,0,0.0,1,0.0,0.0
1986-02-01,0,0.0,1,0.0,0.0
1986-03-01,0,0.0,1,0.0,0.0
1986-04-01,0,0.0,1,0.0,0.0
1986-05-01,1,0.0,2,0.16666666666666666,0.08333333333333333
1986-06-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1986-07-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1986-08-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1986-09-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1986-10-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1986-11-01,0,0.0,2,0.0,0.08333333333333333
1986-12-01,0,0.0,2,0.0,0.08333333333333333
1987-01-01,0,0.0,2,0.0,0.08333333333333333
1987-02-01,0,0.0,2,0.0,0.08333333333333333
1987-03-01,0,0.0,2,0.0,0.08333333333333333
1987-04-01,0,0.0,2,0.0,0.08333333333333333
1987-05-01,0,0.0,2,0.0,0.0
1987-06-01,0,0.0,2,0.0,0.0
1987-07-01,0,0.0,2,0.0,0.0
1987-08-01,0,0.0,2,0.0,0.0
1987-09-01,0,0.0,2,0.0,0.0
1987-10-01,0,0.0,2,0.0,0.0
1987-11-01,0,0.0,2,0.0,0.0
1987-12-01,0,0.0,2,0.0,0.0
1988-01-01,0,0.0,2,0.0,0.0
1988-02-01,0,0.0,2,0.0,0.0
1988-03-01,0,0.0,2,0.0,0.0
1988-04-01,0,0.0,2,0.0,0.0
1988-05-01,0,0.0,2,0.0,0.0
1988-06-01,0,0.0,2,0.0,0.0
1988-07-01,0,0.0,2,0.0,0.0
1988-08-01,0,0.0,2,0.0,0.0
1988-09-01,0,0.0,2,0.0,0.0
1988-10-01,0,0.0,2,0.0,0.0
1988-11-01,0,0.0,2,0.0,0.0
1988-12-01,0,0.0,2,0.0,0.0
1989-01-01,0,0.0,2,0.0,0.0
1989-02-01,0,0.0,2,0.0,0.0
1989-03-01,0,0.0,2,0.0,0.0
1989-04-01,0,0.0,2,0.0,0.0
1989-05-01,0,0.0,2,0.0,0.0
1989-06-01,0,0.0,2,0.0,0.0
1989-07-01,0,0.0,2,0.0,0.0
1989-08-01,0,0.0,2,0.0,0.0
1989-09-01,0,0.0,2,0.0,0.0
1989-10-01,0,0.0,2,0.0,0.0
1989-11-01,0,0.0,2,0.0,0.0
1989-12-01,0,0.0,2,0.0,0.0
1990-01-01,0,0.0,2,0.0,0.0
1990-02-01,0,0.0,2,0.0,0.0
1990-03-01,0,0.0,2,0.0,0.0
1990-04-01,0,0.0,2,0.0,0.0
1990-05-01,0,0.0,2,0.0,0.0
1990-06-01,0,0.0,2,0.0,0.0
1990-07-01,0,0.0,2,0.0,0.0
1990-08-01,0,0.0,2,0.0,0.0
1990-09-01,0,0.0,2,0.0,0.0
1990-10-01,0,0.0,2,0.0,0.0
1990-11-01,0,0.0,2,0.0,0.0
1990-12-01,0,0.0,2,0.0,0.0
1991-01-01,0,0.0,2,0.0,0.0
1991-02-01,0,0.0,2,0.0,0.0
1991-03-01,0,0.0,2,0.0,0.0
1991-04-01,0,0.0,2,0.0,0.0
1991-05-01,0,0.0,2,0.0,0.0
1991-06-01,0,0.0,2,0.0,0.0
1991-07-01,0,0.0,2,0.0,0.0
1991-08-01,0,0.0,2,0.0,0.0
1991-09-01,0,0.0,2,0.0,0.0
1991-10-01,0,0.0,2,0.0,0.0
1991-11-01,0,0.0,2,0.0,0.0
1991-12-01,1,0.0,3,0.16666666666666666,0.08333333333333333
1992-01-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1992-02-01,1,359.0,4,0.3333333333333333,0.16666666666666666
1992-03-01,0,0.0,4,0.3333333333333333,0.16666666666666666
1992-04-01,0,0.0,4,0.3333333333333333,0.16666666666666666
1992-05-01,0,0.0,4,0.3333333333333333,0.16666666666666666
1992-06-01,0,0.0,4,0.16666666666666666,0.16666666666666666
1992-07-01,0,0.0,4,0.16666666666666666,0.16666666666666666
1992-08-01,1,107.0,5,0.16666666666666666,0.25
1992-09-01,0,0.0,5,0.16666666666666666,0.25
1992-10-01,0,0.0,5,0.16666666666666666,0.25
1992-11-01,0,0.0,5,0.16666666666666666,0.25
1992-12-01,0,0.0,5,0.16666666666666666,0.16666666666666666
1993-01-01,1,0.0,6,0.3333333333333333,0.25
1993-02-01,0,0.0,6,0.16666666666666666,0.16666666666666666
1993-03-01,1,32.0,7,0.3333333333333333,0.25
1993-04-01,0,0.0,7,0.3333333333333333,0.25
1993-05-01,2,1929.0,9,0.6666666666666666,0.4166666666666667
1993-06-01,0,0.0,9,0.6666666666666666,0.4166666666666667
1993-07-01,0,0.0,9,0.5,0.4166666666666667
1993-08-01,0,0.0,9,0.5,0.3333333333333333
1993-09-01,0,0.0,9,0.3333333333333333,0.3333333333333333
1993-10-01,0,0.0,9,0.3333333333333333,0.3333333333333333
1993-11-01,0,0.0,9,0.0,0.3333333333333333
1993-12-01,0,0.0,9,0.0,0.3333333333333333
1994-01-01,0,0.0,9,0.0,0.25
1994-02-01,0,0.0,9,0.0,0.25
1994-03-01,1,45.0,10,0.16666666666666666,0.25
1994-04-01,0,0.0,10,0.16666666666666666,0.25
1994-05-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-06-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-07-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-08-01,0,0.0,10,0.16666666666666666,0.08333333333333333
1994-09-01,0,0.0,10,0.0,0.08333333333333333
1994-10-01,0,0.0,10,0.0,0.08333333333333333
1994-11-01,1,68.0,11,0.16666666666666666,0.16666666666666666
1994-12-01,0,0.0,11,0.16666666666666666,0.16666666666666666
1995-01-01,0,0.0,11,0.16666666666666666,0.16666666666666666
1995-02-01,1,15.0,12,0.3333333333333333,0.25
1995-03-01,3,93.0,15,0.8333333333333334,0.4166666666666667
1995-04-01,0,0.0,15,0.8333333333333334,0.4166666666666667
1995-05-01,0,0.0,15,0.6666666666666666,0.4166666666666667
1995-06-01,1,30.0,16,0.8333333333333334,0.5
1995-07-01,0,0.0,16,0.8333333333333334,0.5
1995-08-01,2,406.0,18,1.0,0.6666666666666666
1995-09-01,0,0.0,18,0.5,0.6666666666666666
1995-10-01,1,0.0,19,0.6666666666666666,0.75
1995-11-01,0,0.0,19,0.6666666666666666,0.6666666666666666
1995-12-01,0,0.0,19,0.5,0.6666666666666666
1996-01-01,3,672.0,22,1.0,0.9166666666666666
1996-02-01,1,25.0,23,0.8333333333333334,0.9166666666666666
1996-03-01,0,0.0,23,0.8333333333333334,0.6666666666666666
1996-04-01,1,0.0,24,0.8333333333333334,0.75
1996-05-01,1,1970.0,25,1.0,0.8333333333333334
1996-06-01,4,1171.0,29,1.6666666666666667,1.0833333333333333
1996-07-01,0,0.0,29,1.1666666666666667,1.0833333333333333
1996-08-01,0,0.0,29,1.0,0.9166666666666666
1996-09-01,0,0.0,29,1.0,0.9166666666666666
1996-10-01,0,0.0,29,0.8333333333333334,0.8333333333333334
1996-11-01,0,0.0,29,0.6666666666666666,0.8333333333333334
1996-12-01,0,0.0,29,0.0,0.8333333333333334
1997-01-01,1,149.0,30,0.16666666666666666,0.6666666666666666
1997-02-01,1,24.0,31,0.3333333333333333,0.6666666666666666
1997-03-01,2,307.0,33,0.6666666666666666,0.8333333333333334
1997-04-01,0,0.0,33,0.6666666666666666,0.75
1997-05-01,1,66.0,34,0.8333333333333334,0.75
1997-06-01,2,148.0,36,1.1666666666666667,0.5833333333333334
1997-07-01,0,0.0,36,1.0,0.5833333333333334
1997-08-01,1,0.0,37,1.0,0.6666666666666666
1997-09-01,2,30.0,39,1.0,0.8333333333333334
1997-10-01,1,30.0,40,1.1666666666666667,0.9166666666666666
1997-11-01,1,20.0,41,1.1666666666666667,1.0
1997-12-01,1,27.0,42,1.0,1.0833333333333333
1998-01-01,1,0.0,43,1.1666666666666667,1.0833333333333333
1998-02-01,2,38.0,45,1.3333333333333333,1.1666666666666667
1998-03-01,2,220.0,47,1.3333333333333333,1.1666666666666667
1998-04-01,1,0.0,48,1.3333333333333333,1.25
1998-05-01,0,0.0,48,1.1666666666666667,1.1666666666666667
1998-06-01,1,3.0,49,1.1666666666666667,1.0833333333333333
1998-07-01,0,0.0,49,1.0,1.0833333333333333
1998-08-01,2,148.0,51,1.0,1.1666666666666667
1998-09-01,1,42.0,52,0.8333333333333334,1.0833333333333333
1998-10-01,0,0.0,52,0.6666666666666666,1.0
1998-11-01,1,16.0,53,0.8333333333333334,1.0
1998-12-01,1,0.0,54,0.8333333333333334,1.0
1999-01-01,2,60.0,56,1.1666666666666667,1.0833333333333333
1999-02-01,3,261.0,59,1.3333333333333333,1.1666666666666667
1999-03-01,1,36.0,60,1.3333333333333333,1.0833333333333333
1999-04-01,0,0.0,60,1.3333333333333333,1.0
1999-05-01,2,358.0,62,1.5,1.1666666666666667
1999-06-01,2,160.0,64,1.6666666666666667,1.25
1999-07-01,0,0.0,64,1.3333333333333333,1.25
1999-08-01,2,293.0,66,1.1666666666666667,1.25
1999-09-01,4,60.0,70,1.6666666666666667,1.5
1999-10-01,2,65.0,72,2.0,1.6666666666666667
1999-11-01,4,95.0,76,2.3333333333333335,1.9166666666666667
1999-12-01,2,0.0,78,2.3333333333333335,2.0
2000-01-01,4,527.0,82,3.0,2.1666666666666665
2000-02-01,3,130.0,85,3.1666666666666665,2.1666666666666665
2000-03-01,3,34.0,88,3.0,2.3333333333333335
2000-04-01,3,1076.0,91,3.1666666666666665,2.5833333333333335
2000-05-01,1,60.0,92,2.6666666666666665,2.5
2000-06-01,3,3112.0,95,2.8333333333333335,2.5833333333333335
2000-07-01,2,536.0,97,2.5,2.75
2000-08-01,3,215.0,100,2.5,2.8333333333333335
2000-09-01,0,0.0,100,2.0,2.5
2000-10-01,2,100.0,102,1.8333333333333333,2.5
2000-11-01,1,28.0,103,1.8333333333333333,2.25
2000-12-01,2,0.0,105,1.6666666666666667,2.25
2001-01-01,0,0.0,105,1.3333333333333333,1.9166666666666667
2001-02-01,2,60.0,107,1.1666666666666667,1.8333333333333333
2001-03-01,2,75.0,109,1.5,1.75
2001-04-01,0,0.0,109,1.1666666666666667,1.5
2001-05-01,2,26.0,111,1.3333333333333333,1.5833333333333333
2001-06-01,3,279.0,114,1.5,1.5833333333333333
2001-07-01,0,0.0,114,1.5,1.4166666666666667
2001-08-01,1,0.0,115,1.3333333333333333,1.25
2001-09-01,2,1750.0,117,1.3333333333333333,1.4166666666666667
2001-10-01,1,36.0,118,1.5,1.3333333333333333
2001-11-01,3,80.0,121,1.6666666666666667,1.5
2001-12-01,1,105.0,122,1.3333333333333333,1.4166666666666667
2002-01-01,6,1172.0,128,2.3333333333333335,1.9166666666666667
2002-02-01,0,0.0,128,2.1666666666666665,1.75
2002-03-01,2,0.0,130,2.1666666666666665,1.75
2002-04-01,2,2351.0,132,2.3333333333333335,1.9166666666666667
2002-05-01,2,128.0,134,2.1666666666666665,1.9166666666666667
2002-06-01,2,100.0,136,2.3333333333333335,1.8333333333333333
2002-07-01,3,141.0,139,1.8333333333333333,2.0833333333333335
2002-08-01,2,10.0,141,2.1666666666666665,2.1666666666666665
2002-09-01,2,190.0,143,2.1666666666666665,2.1666666666666665
2002-10-01,3,244.0,146,2.3333333333333335,2.3333333333333335
2002-11-01,2,235.0,148,2.3333333333333335,2.25
2002-12-01,2,208.0,150,2.3333333333333335,2.3333333333333335
2003-01-01,5,736.0,155,2.6666666666666665,2.25
2003-02-01,0,0.0,155,2.3333333333333335,2.25
2003-03-01,1,109.0,156,2.1666666666666665,2.1666666666666665
2003-04-01,1,110.0,157,1.8333333333333333,2.0833333333333335
2003-05-01,0,0.0,157,1.5,1.9166666666666667
2003-06-01,4,462.0,161,1.8333333333333333,2.0833333333333335
2003-07-01,0,0.0,161,1.0,1.8333333333333333
2003-08-01,1,338.0,162,1.1666666666666667,1.75
2003-09-01,1,17.0,163,1.1666666666666667,1.6666666666666667
2003-10-01,1,8.0,164,1.1666666666666667,1.5
2003-11-01,3,850.0,167,1.6666666666666667,1.5833333333333333
2003-12-01,3,11241.0,170,1.5,1.6666666666666667
2004-01-01,4,141.0,174,2.1666666666666665,1.5833333333333333
2004-02-01,3,92.0,177,2.5,1.8333333333333333
2004-03-01,1,16.0,178,2.5,1.8333333333333333
2004-04-01,2,180.0,180,2.6666666666666665,1.9166666666666667
2004-05-01,3,315.0,183,2.6666666666666665,2.1666666666666665
2004-06-01,2,160.0,185,2.5,2.0
2004-07-01,0,0.0,185,1.8333333333333333,2.0
2004-08-01,2,60.0,187,1.6666666666666667,2.0833333333333335
2004-09-01,1,0.0,188,1.6666666666666667,2.0833333333333335
2004-10-01,2,234.0,190,1.6666666666666667,2.1666666666666665
2004-11-01,5,323.0,195,2.0,2.3333333333333335
2004-12-01,1,40.0,196,1.8333333333333333,2.1666666666666665
2005-01-01,2,11.0,198,2.1666666666666665,2.0
2005-02-01,0,0.0,198,1.8333333333333333,1.75
2005-03-01,2,683.0,200,2.0,1.8333333333333333
2005-04-01,2,591.0,202,2.0,1.8333333333333333
2005-05-01,1,36.0,203,1.3333333333333333,1.6666666666666667
2005-06-01,3,164.0,206,1.6666666666666667,1.75
2005-07-01,1,48.0,207,1.5,1.8333333333333333
2005-08-01,4,440.0,211,2.1666666666666665,2.0
2005-09-01,1,6.0,212,2.0,2.0
2005-10-01,3,87.0,215,2.1666666666666665,2.0833333333333335
2005-11-01,1,13.0,216,2.1666666666666665,1.75
2005-12-01,0,0.0,216,1.6666666666666667,1.6666666666666667
2006-01-01,2,167.0,218,1.8333333333333333,1.6666666666666667
2006-02-01,2,248.0,220,1.5,1.8333333333333333
2006-03-01,1,50.0,221,1.5,1.75
2006-04-01,1,23.0,222,1.1666666666666667,1.6666666666666667
2006-05-01,3,204.0,225,1.5,1.8333333333333333
2006-06-01,5,205.0,230,2.3333333333333335,2.0
2006-07-01,1,9.0,231,2.1666666666666665,2.0
2006-08-01,3,90.0,234,2.3333333333333335,1.9166666666666667
