month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1993-01-01,1,96.0,1,1.0,1.0
1993-02-01,0,0.0,1,0.5,0.5
1993-03-01,0,0.0,1,0.3333333333333333,0.3333333333333333
1993-04-01,0,0.0,1,0.25,0.25
1993-05-01,0,0.0,1,0.2,0.2
1993-06-01,0,0.0,1,0.16666666666666666,0.16666666666666666
1993-07-01,0,0.0,1,0.0,0.14285714285714285
1993-08-01,0,0.0,1,0.0,0.125
1993-09-01,0,0.0,1,0.0,0.1111111111111111
1993-10-01,0,0.0,1,0.0,0.1
1993-11-01,0,0.0,1,0.0,0.09090909090909091
1993-12-01,0,0.0,1,0.0,0.08333333333333333
1994-01-01,0,0.0,1,0.0,0.0
1994-02-01,0,0.0,1,0.0,0.0
1994-03-01,0,0.0,1,0.0,0.0
1994-04-01,0,0.0,1,0.0,0.0
1994-05-01,0,0.0,1,0.0,0.0
1994-06-01,0,0.0,1,0.0,0.0
1994-07-01,1,610.0,2,0.16666666666666666,0.08333333333333333
1994-08-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1994-09-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1994-10-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1994-11-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1994-12-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1995-01-01,0,0.0,2,0.0,0.08333333333333333
1995-02-01,0,0.0,2,0.0,0.08333333333333333
1995-03-01,0,0.0,2,0.0,0.08333333333333333
1995-04-01,0,0.0,2,0.0,0.08333333333333333
1995-05-01,0,0.0,2,0.0,0.08333333333333333
1995-06-01,0,0.0,2,0.0,0.08333333333333333
1995-07-01,0,0.0,2,0.0,0.0
1995-08-01,0,0.0,2,0.0,0.0
1995-09-01,0,0.0,2,0.0,0.0
1995-10-01,2,1820.0,4,0.3333333333333333,0.16666666666666666
1995-11-01,0,0.0,4,0.3333333333333333,0.16666666666666666
1995-12-01,0,0.0,4,0.3333333333333333,0.16666666666666666
1996-01-01,1,30.0,5,0.5,0.25
1996-02-01,0,0.0,5,0.5,0.25
1996-03-01,0,0.0,5,0.5,0.25
1996-04-01,0,0.0,5,0.16666666666666666,0.25
1996-05-01,0,0.0,5,0.16666666666666666,0.25
1996-06-01,0,0.0,5,0.16666666666666666,0.25
1996-07-01,0,0.0,5,0.0,0.25
1996-08-01,1,9.0,6,0.16666666666666666,0.3333333333333333
1996-09-01,0,0.0,6,0.16666666666666666,0.3333333333333333
1996-10-01,0,0.0,6,0.16666666666666666,0.16666666666666666
1996-11-01,0,0.0,6,0.16666666666666666,0.16666666666666666
1996-12-01,0,0.0,6,0.16666666666666666,0.16666666666666666
1997-01-01,1,25.0,7,0.3333333333333333,0.16666666666666666
1997-02-01,0,0.0,7,0.16666666666666666,0.16666666666666666
1997-03-01,0,0.0,7,0.16666666666666666,0.16666666666666666
1997-04-01,1,10.0,8,0.3333333333333333,0.25
1997-05-01,0,0.0,8,0.3333333333333333,0.25
1997-06-01,0,0.0,8,0.3333333333333333,0.25
1997-07-01,0,0.0,8,0.16666666666666666,0.25
1997-08-01,1,600.0,9,0.3333333333333333,0.25
1997-09-01,0,0.0,9,0.3333333333333333,0.25
1997-10-01,0,0.0,9,0.16666666666666666,0.25
1997-11-01,0,0.0,9,0.16666666666666666,0.25
1997-12-01,0,0.0,9,0.16666666666666666,0.25
1998-01-01,1,30.0,10,0.3333333333333333,0.25
1998-02-01,0,0.0,10,0.16666666666666666,0.25
1998-03-01,0,0.0,10,0.16666666666666666,0.25
1998-04-01,0,0.0,10,0.16666666666666666,0.16666666666666666
1998-05-01,1,0.0,11,0.3333333333333333,0.25
1998-06-01,0,0.0,11,0.3333333333333333,0.25
1998-07-01,1,366.0,12,0.3333333333333333,0.3333333333333333
1998-08-01,1,108.0,13,0.5,0.3333333333333333
1998-09-01,1,0.0,14,0.6666666666666666,0.4166666666666667
1998-10-01,0,0.0,14,0.6666666666666666,0.4166666666666667
1998-11-01,0,0.0,14,0.5,0.4166666666666667
1998-12-01,0,0.0,14,0.5,0.4166666666666667
1999-01-01,0,0.0,14,0.3333333333333333,0.3333333333333333
1999-02-01,1,158.0,15,0.3333333333333333,0.4166666666666667
1999-03-01,0,0.0,15,0.16666666666666666,0.4166666666666667
1999-04-01,1,0.0,16,0.3333333333333333,0.5
1999-05-01,1,0.0,17,0.5,0.5
1999-06-01,0,0.0,17,0.5,0.5
1999-07-01,0,0.0,17,0.5,0.4166666666666667
1999-08-01,1,38.0,18,0.5,0.4166666666666667
1999-09-01,1,29.0,19,0.6666666666666666,0.4166666666666667
1999-10-01,0,0.0,19,0.5,0.4166666666666667
1999-11-01,0,0.0,19,0.3333333333333333,0.4166666666666667
1999-12-01,0,0.0,19,0.3333333333333333,0.4166666666666667
2000-01-01,2,640.0,21,0.6666666666666666,0.5833333333333334
2000-02-01,0,0.0,21,0.5,0.5
2000-03-01,0,0.0,21,0.3333333333333333,0.5
2000-04-01,1,15.0,22,0.5,0.5
2000-05-01,1,42.0,23,0.6666666666666666,0.5
2000-06-01,0,0.0,23,0.6666666666666666,0.5
2000-07-01,2,74.0,25,0.6666666666666666,0.6666666666666666
2000-08-01,1,0.0,26,0.8333333333333334,0.6666666666666666
2000-09-01,2,2289.0,28,1.1666666666666667,0.75
2000-10-01,0,0.0,28,1.0,0.75
2000-11-01,0,0.0,28,0.8333333333333334,0.75
2000-12-01,0,0.0,28,0.8333333333333334,0.75
2001-01-01,0,0.0,28,0.5,0.5833333333333334
2001-02-01,0,0.0,28,0.3333333333333333,0.5833333333333334
2001-03-01,0,0.0,28,0.0,0.5833333333333334
2001-04-01,0,0.0,28,0.0,0.5
2001-05-01,0,0.0,28,0.0,0.4166666666666667
2001-06-01,0,0.0,28,0.0,0.4166666666666667
2001-07-01,0,0.0,28,0.0,0.25
2001-08-01,0,0.0,28,0.0,0.16666666666666666
2001-09-01,0,0.0,28,0.0,0.0
2001-10-01,1,34.0,29,0.16666666666666666,0.08333333333333333
2001-11-01,1,125.0,30,0.3333333333333333,0.16666666666666666
2001-12-01,0,0.0,30,0.3333333333333333,0.16666666666666666
2002-01-01,1,172.0,31,0.5,0.25
2002-02-01,1,129.0,32,0.6666666666666666,0.3333333333333333
2002-03-01,1,69.0,33,0.8333333333333334,0.4166666666666667
2002-04-01,1,50.0,34,0.8333333333333334,0.5
2002-05-01,2,204.0,36,1.0,0.6666666666666666
2002-06-01,1,0.0,37,1.1666666666666667,0.75
2002-07-01,0,0.0,37,1.0,0.75
2002-08-01,1,41.0,38,1.0,0.8333333333333334
2002-09-01,2,2009.0,40,1.1666666666666667,1.0
2002-10-01,3,276.0,43,1.5,1.1666666666666667
2002-11-01,0,0.0,43,1.1666666666666667,1.0833333333333333
2002-12-01,1,46.0,44,1.1666666666666667,1.1666666666666667
2003-01-01,3,177.0,47,1.6666666666666667,1.3333333333333333
2003-02-01,0,0.0,47,1.5,1.25
2003-03-01,1,35.0,48,1.3333333333333333,1.25
2003-04-01,1,44.0,49,1.0,1.25
2003-05-01,2,75.0,51,1.3333333333333333,1.25
2003-06-01,2,50.0,53,1.5,1.3333333333333333
2003-07-01,2,30.0,55,1.3333333333333333,1.5
2003-08-01,2,399.0,57,1.6666666666666667,1.5833333333333333
2003-09-01,1,20.0,58,1.6666666666666667,1.5
2003-10-01,0,0.0,58,1.5,1.25
2003-11-01,0,0.0,58,1.1666666666666667,1.25
2003-12-01,1,200.0,59,1.0,1.25
2004-01-01,3,560.0,62,1.1666666666666667,1.25
2004-02-01,2,1490.0,64,1.1666666666666667,1.4166666666666667
2004-03-01,2,469.0,66,1.3333333333333333,1.5
2004-04-01,2,471.0,68,1.6666666666666667,1.5833333333333333
2004-05-01,4,163.0,72,2.3333333333333335,1.75
2004-06-01,1,45.0,73,2.3333333333333335,1.6666666666666667
2004-07-01,2,459.0,75,2.1666666666666665,1.6666666666666667
2004-08-01,2,354.0,77,2.1666666666666665,1.6666666666666667
2004-09-01,1,38.0,78,2.0,1.6666666666666667
2004-10-01,2,88.0,80,2.0,1.8333333333333333
2004-11-01,2,95.0,82,1.6666666666666667,2.0
2004-12-01,3,104.0,85,2.0,2.1666666666666665
2005-01-01,0,0.0,85,1.6666666666666667,1.9166666666666667
2005-02-01,0,0.0,85,1.3333333333333333,1.75
2005-03-01,2,1600.0,87,1.5,1.75
2005-04-01,1,201.0,88,1.3333333333333333,1.6666666666666667
2005-05-01,2,89.0,90,1.3333333333333333,1.5
2005-06-01,0,0.0,90,0.8333333333333334,1.4166666666666667
2005-07-01,2,131.0,92,1.1666666666666667,1.4166666666666667
2005-08-01,0,0.0,92,1.1666666666666667,1.25
2005-09-01,3,157.0,95,1.3333333333333333,1.4166666666666667
2005-10-01,2,49.0,97,1.5,1.4166666666666667
2005-11-01,2,156.0,99,1.5,1.4166666666666667
2005-12-01,1,300.0,100,1.6666666666666667,1.25
2006-01-01,2,69.0,102,1.6666666666666667,1.4166666666666667
2006-02-01,0,0.0,102,1.6666666666666667,1.4166666666666667
2006-03-01,1,218.0,103,1.3333333333333333,1.3333333333333333
2006-04-01,0,0.0,103,1.0,1.25
2006-05-01,5,497.0,108,1.5,1.5
2006-06-01,2,164.0,110,1.6666666666666667,1.6666666666666667
2006-07-01,4,374.0,114,2.0,1.8333333333333333
2006-08-01,7,713.0,121,3.1666666666666665,2.4166666666666665
2006-09-01,2,108.0,123,3.3333333333333335,2.3333333333333335
2006-10-01,4,352.0,127,4.0,2.5
2006-11-01,1,1140.0,128,3.3333333333333335,2.4166666666666665
2006-12-01,3,845.0,131,3.5,2.5833333333333335
2007-01-01,2,82.0,133,3.1666666666666665,2.5833333333333335
2007-02-01,4,809.0,137,2.6666666666666665,2.9166666666666665
2007-03-01,2,130.0,139,2.6666666666666665,3.0
2007-04-01,0,0.0,139,2.0,3.0
2007-05-01,3,344.0,142,2.3333333333333335,2.8333333333333335
2007-06-01,0,0.0,142,1.8333333333333333,2.6666666666666665
2007-07-01,0,0.0,142,1.5,2.3333333333333335
2007-08-01,3,226.0,145,1.3333333333333333,2.0
2007-09-01,1,134.0,146,1.1666666666666667,1.9166666666666667
2007-10-01,2,831.0,148,1.5,1.75
2007-11-01,1,57.0,149,1.1666666666666667,1.75
2007-12-01,2,44.0,151,1.5,1.6666666666666667
2008-01-01,0,0.0,151,1.5,1.5
2008-02-01,1,172.0,152,1.1666666666666667,1.25
2008-03-01,1,60.0,153,1.1666666666666667,1.1666666666666667
2008-04-01,2,383.0,155,1.1666666666666667,1.3333333333333333
2008-05-01,2,57.0,157,1.3333333333333333,1.25
2008-06-01,2,366.0,159,1.3333333333333333,1.4166666666666667
2008-07-01,0,0.0,159,1.3333333333333333,1.4166666666666667
2008-08-01,1,0.0,160,1.3333333333333333,1.25
2008-09-01,5,1110.0,165,2.0,1.5833333333333333
2008-10-01,2,303.0,167,2.0,1.5833333333333333
2008-11-01,3,828.0,170,2.1666666666666665,1.75
2008-12-01,1,44.0,171,2.0,1.6666666666666667
2009-01-01,2,175.0,173,2.3333333333333335,1.8333333333333333
2009-02-01,4,384.0,177,2.8333333333333335,2.0833333333333335
2009-03-01,6,377.0,183,3.0,2.5
2009-04-01,8,1420.0,191,4.0,3.0
2009-05-01,2,150.0,193,3.8333333333333335,3.0
2009-06-01,2,202.0,195,4.0,3.0
2009-07-01,2,131.0,197,4.0,3.1666666666666665
2009-08-01,5,577.0,202,4.166666666666667,3.5
2009-09-01,4,734.0,206,3.8333333333333335,3.4166666666666665
2009-10-01,1,321.0,207,2.6666666666666665,3.3333333333333335
2009-11-01,4,873.0,211,3.0,3.4166666666666665
2009-12-01,2,292.0,213,3.0,3.5
2010-01-01,3,160.0,216,3.1666666666666665,3.5833333333333335
2010-02-01,4,1118.0,220,3.0,3.5833333333333335
2010-03-01,3,43.0,223,2.8333333333333335,3.3333333333333335
2010-04-01,2,47.0,225,3.0,2.8333333333333335
2010-05-01,0,0.0,225,2.3333333333333335,2.6666666666666665
2010-06-01,5,399.0,230,2.8333333333333335,2.9166666666666665
2010-07-01,0,0.0,230,2.3333333333333335,2.75
2010-08-01,4,157.0,234,2.3333333333333335,2.6666666666666665
2010-09-01,5,2389.0,239,2.6666666666666665,2.75
2010-10-01,3,844.0,242,2.8333333333333335,2.9166666666666665
2010-11-01,1,23.0,243,3.0,2.6666666666666665
2010-12-01,3,168.0,246,2.6666666666666665,2.75
2011-01-01,2,267.0,248,3.0,2.6666666666666665
2011-02-01,4,480.0,252,3.0,2.6666666666666665
2011-03-01,2,105.0,254,2.5,2.5833333333333335
2011-04-01,2,130.0,256,2.3333333333333335,2.5833333333333335
2011-05-01,3,516.0,259,2.6666666666666665,2.8333333333333335
2011-06-01,4,1253.0,263,2.8333333333333335,2.75
2011-07-01,2,132.0,265,2.8333333333333335,2.9166666666666665
2011-08-01,1,49.0,266,2.3333333333333335,2.6666666666666665
2011-09-01,2,154.0,268,2.3333333333333335,2.4166666666666665
2011-10-01,2,402.0,270,2.3333333333333335,2.3333333333333335
2011-11-01,1,146.0,271,2.0,2.3333333333333335
2011-12-01,3,20.0,274,1.8333333333333333,2.3333333333333335
2012-01-01,4,1569.0,278,2.1666666666666665,2.5
2012-02-01,2,323.0,280,2.3333333333333335,2.3333333333333335
2012-03-01,1,22.0,281,2.1666666666666665,2.25
2012-04-01,2,180.0,283,2.1666666666666665,2.25
2012-05-01,4,594.0,287,2.6666666666666665,2.3333333333333335
2012-06-01,3,107.0,290,2.6666666666666665,2.25
2012-07-01,2,27.0,292,2.3333333333333335,2.25
