month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1991-04-01,1,0.0,1,1.0,1.0
1991-05-01,0,0.0,1,0.5,0.5
1991-06-01,0,0.0,1,0.3333333333333333,0.3333333333333333
1991-07-01,0,0.0,1,0.25,0.25
1991-08-01,0,0.0,1,0.2,0.2
1991-09-01,0,0.0,1,0.16666666666666666,0.16666666666666666
1991-10-01,0,0.0,1,0.0,0.14285714285714285
1991-11-01,0,0.0,1,0.0,0.125
1991-12-01,0,0.0,1,0.0,0.1111111111111111
1992-01-01,0,0.0,1,0.0,0.1
1992-02-01,1,359.0,2,0.16666666666666666,0.18181818181818182
1992-03-01,0,0.0,2,0.16666666666666666,0.16666666666666666
1992-04-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1992-05-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1992-06-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1992-07-01,0,0.0,2,0.16666666666666666,0.08333333333333333
1992-08-01,0,0.0,2,0.0,0.08333333333333333
1992-09-01,0,0.0,2,0.0,0.08333333333333333
1992-10-01,0,0.0,2,0.0,0.08333333333333333
1992-11-01,0,0.0,2,0.0,0.08333333333333333
1992-12-01,0,0.0,2,0.0,0.08333333333333333
1993-01-01,0,0.0,2,0.0,0.08333333333333333
1993-02-01,1,11.0,3,0.16666666666666666,0.08333333333333333
1993-03-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1993-04-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1993-05-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1993-06-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1993-07-01,0,0.0,3,0.16666666666666666,0.08333333333333333
1993-08-01,0,0.0,3,0.0,0.08333333333333333
1993-09-01,0,0.0,3,0.0,0.08333333333333333
1993-10-01,0,0.0,3,0.0,0.08333333333333333
1993-11-01,0,0.0,3,0.0,0.08333333333333333
1993-12-01,0,0.0,3,0.0,0.08333333333333333
1994-01-01,0,0.0,3,0.0,0.08333333333333333
1994-02-01,0,0.0,3,0.0,0.0
1994-03-01,1,52.0,4,0.16666666666666666,0.08333333333333333
1994-04-01,0,0.0,4,0.16666666666666666,0.08333333333333333
1994-05-01,0,0.0,4,0.16666666666666666,0.08333333333333333
1994-06-01,1,470.0,5,0.3333333333333333,0.16666666666666666
1994-07-01,0,0.0,5,0.3333333333333333,0.16666666666666666
1994-08-01,0,0.0,5,0.3333333333333333,0.16666666666666666
1994-09-01,0,0.0,5,0.16666666666666666,0.16666666666666666
1994-10-01,1,23.0,6,0.3333333333333333,0.25
1994-11-01,0,0.0,6,0.3333333333333333,0.25
1994-12-01,0,0.0,6,0.16666666666666666,0.25
1995-01-01,0,0.0,6,0.16666666666666666,0.25
1995-02-01,0,0.0,6,0.16666666666666666,0.25
1995-03-01,1,1500.0,7,0.3333333333333333,0.25
1995-04-01,0,0.0,7,0.16666666666666666,0.25
1995-05-01,0,0.0,7,0.16666666666666666,0.25
1995-06-01,0,0.0,7,0.16666666666666666,0.16666666666666666
1995-07-01,0,0.0,7,0.16666666666666666,0.16666666666666666
1995-08-01,0,0.0,7,0.16666666666666666,0.16666666666666666
1995-09-01,0,0.0,7,0.0,0.16666666666666666
1995-10-01,0,0.0,7,0.0,0.08333333333333333
1995-11-01,0,0.0,7,0.0,0.08333333333333333
1995-12-01,0,0.0,7,0.0,0.08333333333333333
1996-01-01,0,0.0,7,0.0,0.08333333333333333
1996-02-01,0,0.0,7,0.0,0.08333333333333333
1996-03-01,3,361.0,10,0.5,0.25
1996-04-01,0,0.0,10,0.5,0.25
1996-05-01,0,0.0,10,0.5,0.25
1996-06-01,0,0.0,10,0.5,0.25
1996-07-01,0,0.0,10,0.5,0.25
1996-08-01,0,0.0,10,0.5,0.25
