month,new_trials,total_enrollment,cumulative_trials,rolling_6m,rolling_12m
1983-02-01,1,0.0,1,1.0,1.0
1983-03-01,0,0.0,1,0.5,0.5
1983-04-01,0,0.0,1,0.3333333333333333,0.3333333333333333
1983-05-01,0,0.0,1,0.25,0.25
1983-06-01,0,0.0,1,0.2,0.2
1983-07-01,0,0.0,1,0.16666666666666666,0.16666666666666666
1983-08-01,0,0.0,1,0.0,0.14285714285714285
1983-09-01,0,0.0,1,0.0,0.125
1983-10-01,0,0.0,1,0.0,0.1111111111111111
1983-11-01,0,0.0,1,0.0,0.1
1983-12-01,0,0.0,1,0.0,0.09090909090909091
1984-01-01,0,0.0,1,0.0,0.08333333333333333
1984-02-01,0,0.0,1,0.0,0.0
1984-03-01,0,0.0,1,0.0,0.0
1984-04-01,0,0.0,1,0.0,0.0
1984-05-01,0,0.0,1,0.0,0.0
1984-06-01,0,0.0,1,0.0,0.0
1984-07-01,0,0.0,1,0.0,0.0
1984-08-01,0,0.0,1,0.0,0.0
1984-09-01,0,0.0,1,0.0,0.0
1984-10-01,0,0.0,1,0.0,0.0
1984-11-01,0,0.0,1,0.0,0.0
1984-12-01,0,0.0,1,0.0,0.0
1985-01-01,0,0.0,1,0.0,0.0
1985-02-01,0,0.0,1,0.0,0.0
1985-03-01,0,0.0,1,0.0,0.0
1985-04-01,0,0.0,1,0.0,0.0
1985-05-01,0,0.0,1,0.0,0.0
1985-06-01,0,0.0,1,0.0,0.0
1985-07-01,0,0.0,1,0.0,0.0
1985-08-01,0,0.0,1,0.0,0.0
1985-09-01,0,0.0,1,0.0,0.0
1985-10-01,0,0.0,1,0.0,0.0
1985-11-01,0,0.0,1,0.0,0.0
1985-12-01,0,0.0,1,0.0,0.0
1986-01-01,0,0.0,1,0.0,0.0
1986-02-01,0,0.0,1,0.0,0.0
1986-03-01,0,0.0,1,0.0,0.0
1986-04-01,0,0.0,1,0.0,0.0
1986-05-01,0,0.0,1,0.0,0.0
1986-06-01,0,0.0,1,0.0,0.0
1986-07-01,0,0.0,1,0.0,0.0
1986-08-01,0,0.0,1,0.0,0.0
1986-09-01,0,0.0,1,0.0,0.0
1986-10-01,0,0.0,1,0.0,0.0
1986-11-01,0,0.0,1,0.0,0.0
1986-12-01,0,0.0,1,0.0,0.0
1987-01-01,0,0.0,1,0.0,0.0
1987-02-01,0,0.0,1,0.0,0.0
1987-03-01,0,0.0,1,0.0,0.0
1987-04-01,0,0.0,1,0.0,0.0
1987-05-01,0,0.0,1,0.0,0.0
1987-06-01,0,0.0,1,0.0,0.0
1987-07-01,0,0.0,1,0.0,0.0
1987-08-01,0,0.0,1,0.0,0.0
1987-09-01,0,0.0,1,0.0,0.0
1987-10-01,0,0.0,1,0.0,0.0
1987-11-01,0,0.0,1,0.0,0.0
1987-12-01,0,0.0,1,0.0,0.0
1988-01-01,0,0.0,1,0.0,0.0
1988-02-01,0,0.0,1,0.0,0.0
1988-03-01,0,0.0,1,0.0,0.0
